
	--==[ SPLAT! v1.4.2 Site Analysis Report For: KWGN-TV ]==--

---------------------------------------------------------------------------

Site location: 39.7328 North / 105.2361 West (39° 43' 57" N / 105° 14' 10" W)
Ground elevation: 2207.00 meters AMSL
Antenna height: 122.00 meters AGL / 2329.00 meters AMSL
Antenna height above average terrain: 305.24 meters

Average terrain at 182 degrees azimuth: 2191.54 meters AMSL
Average terrain at 183 degrees azimuth: 2197.74 meters AMSL
Average terrain at 184 degrees azimuth: 2206.39 meters AMSL
Average terrain at 185 degrees azimuth: 2203.64 meters AMSL
Average terrain at 186 degrees azimuth: 2199.73 meters AMSL
Average terrain at 187 degrees azimuth: 2201.02 meters AMSL
Average terrain at 188 degrees azimuth: 2211.80 meters AMSL
Average terrain at 189 degrees azimuth: 2232.89 meters AMSL
Average terrain at 190 degrees azimuth: 2233.55 meters AMSL
Average terrain at 191 degrees azimuth: 2239.88 meters AMSL
Average terrain at 192 degrees azimuth: 2248.56 meters AMSL
Average terrain at 193 degrees azimuth: 2255.61 meters AMSL
Average terrain at 194 degrees azimuth: 2260.44 meters AMSL
Average terrain at 195 degrees azimuth: 2266.67 meters AMSL
Average terrain at 196 degrees azimuth: 2272.43 meters AMSL
Average terrain at 197 degrees azimuth: 2284.24 meters AMSL
Average terrain at 198 degrees azimuth: 2290.90 meters AMSL
Average terrain at 199 degrees azimuth: 2290.21 meters AMSL
Average terrain at 200 degrees azimuth: 2288.81 meters AMSL
Average terrain at 201 degrees azimuth: 2288.32 meters AMSL
Average terrain at 202 degrees azimuth: 2279.73 meters AMSL
Average terrain at 203 degrees azimuth: 2277.67 meters AMSL
Average terrain at 204 degrees azimuth: 2263.57 meters AMSL
Average terrain at 205 degrees azimuth: 2258.37 meters AMSL
Average terrain at 206 degrees azimuth: 2245.27 meters AMSL
Average terrain at 207 degrees azimuth: 2232.17 meters AMSL
Average terrain at 208 degrees azimuth: 2220.76 meters AMSL
Average terrain at 209 degrees azimuth: 2213.86 meters AMSL
Average terrain at 210 degrees azimuth: 2210.27 meters AMSL
Average terrain at 211 degrees azimuth: 2207.91 meters AMSL
Average terrain at 212 degrees azimuth: 2198.40 meters AMSL
Average terrain at 213 degrees azimuth: 2199.90 meters AMSL
Average terrain at 214 degrees azimuth: 2202.78 meters AMSL
Average terrain at 215 degrees azimuth: 2208.65 meters AMSL
Average terrain at 216 degrees azimuth: 2216.67 meters AMSL
Average terrain at 217 degrees azimuth: 2225.63 meters AMSL
Average terrain at 218 degrees azimuth: 2233.63 meters AMSL
Average terrain at 219 degrees azimuth: 2242.71 meters AMSL
Average terrain at 220 degrees azimuth: 2251.26 meters AMSL
Average terrain at 221 degrees azimuth: 2254.62 meters AMSL
Average terrain at 222 degrees azimuth: 2255.03 meters AMSL
Average terrain at 223 degrees azimuth: 2261.27 meters AMSL
Average terrain at 224 degrees azimuth: 2270.22 meters AMSL
Average terrain at 225 degrees azimuth: 2283.81 meters AMSL
Average terrain at 226 degrees azimuth: 2295.21 meters AMSL
Average terrain at 227 degrees azimuth: 2285.98 meters AMSL
Average terrain at 228 degrees azimuth: 2279.04 meters AMSL
Average terrain at 229 degrees azimuth: 2282.52 meters AMSL
Average terrain at 230 degrees azimuth: 2294.62 meters AMSL
Average terrain at 231 degrees azimuth: 2305.75 meters AMSL
Average terrain at 232 degrees azimuth: 2318.04 meters AMSL
Average terrain at 233 degrees azimuth: 2333.36 meters AMSL
Average terrain at 234 degrees azimuth: 2338.08 meters AMSL
Average terrain at 235 degrees azimuth: 2347.29 meters AMSL
Average terrain at 236 degrees azimuth: 2362.83 meters AMSL
Average terrain at 237 degrees azimuth: 2370.44 meters AMSL
Average terrain at 238 degrees azimuth: 2374.61 meters AMSL
Average terrain at 239 degrees azimuth: 2381.10 meters AMSL
Average terrain at 240 degrees azimuth: 2394.22 meters AMSL
Average terrain at 241 degrees azimuth: 2414.35 meters AMSL
Average terrain at 242 degrees azimuth: 2432.71 meters AMSL
Average terrain at 243 degrees azimuth: 2437.34 meters AMSL
Average terrain at 244 degrees azimuth: 2429.67 meters AMSL
Average terrain at 245 degrees azimuth: 2420.94 meters AMSL
