
	--==[ SPLAT! v1.4.2 Site Analysis Report For: KQCA ]==--
Average terrain at 152 degrees azimuth: 1.25 meters AMSL
Average terrain at 153 degrees azimuth: 1.13 meters AMSL
Average terrain at 154 degrees azimuth: 1.10 meters AMSL
Average terrain at 155 degrees azimuth: 1.05 meters AMSL
Average terrain at 156 degrees azimuth: 1.14 meters AMSL
Average terrain at 157 degrees azimuth: 1.20 meters AMSL
Average terrain at 158 degrees azimuth: 1.18 meters AMSL
Average terrain at 159 degrees azimuth: 1.15 meters AMSL
Average terrain at 160 degrees azimuth: 1.06 meters AMSL
Average terrain at 161 degrees azimuth: 1.00 meters AMSL
Average terrain at 162 degrees azimuth: 1.00 meters AMSL
Average terrain at 163 degrees azimuth: 1.00 meters AMSL
Average terrain at 164 degrees azimuth: 1.00 meters AMSL
Average terrain at 165 degrees azimuth: 1.00 meters AMSL
Average terrain at 166 degrees azimuth: 1.00 meters AMSL
Average terrain at 167 degrees azimuth: 1.00 meters AMSL
Average terrain at 168 degrees azimuth: 1.00 meters AMSL
Average terrain at 169 degrees azimuth: 1.00 meters AMSL
Average terrain at 170 degrees azimuth: 1.00 meters AMSL
Average terrain at 171 degrees azimuth: 1.00 meters AMSL
Average terrain at 172 degrees azimuth: 1.00 meters AMSL
Average terrain at 173 degrees azimuth: 1.00 meters AMSL
Average terrain at 174 degrees azimuth: 1.00 meters AMSL
Average terrain at 175 degrees azimuth: 1.00 meters AMSL
Average terrain at 176 degrees azimuth: 1.00 meters AMSL
Average terrain at 177 degrees azimuth: 1.01 meters AMSL
Average terrain at 178 degrees azimuth: 1.01 meters AMSL
Average terrain at 179 degrees azimuth: 1.02 meters AMSL
Average terrain at 180 degrees azimuth: 1.00 meters AMSL
Average terrain at 181 degrees azimuth: 1.00 meters AMSL
Average terrain at 182 degrees azimuth: 1.04 meters AMSL
Average terrain at 183 degrees azimuth: 1.01 meters AMSL
Average terrain at 184 degrees azimuth: 1.00 meters AMSL
Average terrain at 185 degrees azimuth: 1.00 meters AMSL
Average terrain at 186 degrees azimuth: 1.00 meters AMSL
Average terrain at 187 degrees azimuth: 1.00 meters AMSL
Average terrain at 188 degrees azimuth: 0.99 meters AMSL
Average terrain at 189 degrees azimuth: 0.99 meters AMSL
Average terrain at 190 degrees azimuth: 1.00 meters AMSL
Average terrain at 191 degrees azimuth: 1.00 meters AMSL
Average terrain at 192 degrees azimuth: 1.00 meters AMSL
Average terrain at 193 degrees azimuth: 1.00 meters AMSL
Average terrain at 194 degrees azimuth: 1.00 meters AMSL
Average terrain at 195 degrees azimuth: 1.00 meters AMSL
Average terrain at 196 degrees azimuth: 1.00 meters AMSL
